Location,Race Ethnicity,TimeFrame,DataFormat,Data
ACADEMY 20,Two or more,2012,Percent,0.84584
ACADEMY 20,White,2012,Percent,0.86189
ACADEMY 20,All Students,2013,Percent,0.84505
ACADEMY 20,Asian,2013,Percent,0.90193
ACADEMY 20,Black,2013,Percent,0.66951
ACADEMY 20,Hawaiian/Pacific Islander,2013,Percent,0.86667
ACADEMY 20,Hispanic,2013,Percent,0.77278
ACADEMY 20,Native American,2013,Percent,0.81356
ACADEMY 20,Two or more,2013,Percent,0.85582
ACADEMY 20,White,2013,Percent,0.86083
ACADEMY 20,All Students,2014,Percent,0.84127
ACADEMY 20,Asian,2014,Percent,0.85531
ACADEMY 20,Black,2014,Percent,0.70387
ACADEMY 20,Hawaiian/Pacific Islander,2014,Percent,0.93182
ACADEMY 20,Hispanic,2014,Percent,0.00778
ACADEMY 20,Native American,2014,Percent,0.00724
ACADEMY 20,Two or more,2014,Percent,0.00859
ACADEMY 20,White,2014,Percent,0.00856
ADAMS COUNTY 14,All Students,2011,Percent,0.44
ADAMS COUNTY 14,Asian,2011,Percent,LNE
ADAMS COUNTY 14,Black,2011,Percent,0.3333
ADAMS COUNTY 14,Hawaiian/Pacific Islander,2011,Percent,LNE
ADAMS COUNTY 14,Hispanic,2011,Percent,0.4341
ADAMS COUNTY 14,Native American,2011,Percent,0.4848
ADAMS COUNTY 14,Two or more,2011,Percent,0.4583
ADAMS COUNTY 14,White,2011,Percent,0.522
ADAMS COUNTY 14,All Students,2012,Percent,0.42674
ADAMS COUNTY 14,Asian,2012,Percent,LNE
ADAMS COUNTY 14,Black,2012,Percent,0.32432
ADAMS COUNTY 14,Hawaiian/Pacific Islander,2012,Percent,LNE
ADAMS COUNTY 14,Hispanic,2012,Percent,0.41874
ADAMS COUNTY 14,Native American,2012,Percent,0.53846
ADAMS COUNTY 14,Two or more,2012,Percent,0.47826
ADAMS COUNTY 14,White,2012,Percent,0.48524
ADAMS COUNTY 14,All Students,2013,Percent,0.44816
ADAMS COUNTY 14,Asian,2013,Percent,LNE
ADAMS COUNTY 14,Black,2013,Percent,0.39091
ADAMS COUNTY 14,Hawaiian/Pacific Islander,2013,Percent,LNE
ADAMS COUNTY 14,Hispanic,2013,Percent,0.43455
ADAMS COUNTY 14,Native American,2013,Percent,0.56
ADAMS COUNTY 14,Two or more,2013,Percent,0.4375
ADAMS COUNTY 14,White,2013,Percent,0.53455
ADAMS COUNTY 14,All Students,2014,Percent,0.43328
ADAMS COUNTY 14,Asian,2014,Percent,LNE
ADAMS COUNTY 14,Black,2014,Percent,0.30909
ADAMS COUNTY 14,Hawaiian/Pacific Islander,2014,Percent,LNE
ADAMS COUNTY 14,Hispanic,2014,Percent,0.00422
ADAMS COUNTY 14,Native American,2014,Percent,0.00429
ADAMS COUNTY 14,Two or more,2014,Percent,0.005
ADAMS COUNTY 14,White,2014,Percent,0.0053
ADAMS-ARAPAHOE 28J,All Students,2011,Percent,0.47
ADAMS-ARAPAHOE 28J,Asian,2011,Percent,0.5089
ADAMS-ARAPAHOE 28J,Black,2011,Percent,0.4135
ADAMS-ARAPAHOE 28J,Hawaiian/Pacific Islander,2011,Percent,0.3529
ADAMS-ARAPAHOE 28J,Hispanic,2011,Percent,0.4047
ADAMS-ARAPAHOE 28J,Native American,2011,Percent,0.5119
ADAMS-ARAPAHOE 28J,Two or more,2011,Percent,0.593
ADAMS-ARAPAHOE 28J,White,2011,Percent,0.6644
ADAMS-ARAPAHOE 28J,All Students,2012,Percent,0.48299
ADAMS-ARAPAHOE 28J,Asian,2012,Percent,0.50939
ADAMS-ARAPAHOE 28J,Black,2012,Percent,0.44789
ADAMS-ARAPAHOE 28J,Hawaiian/Pacific Islander,2012,Percent,0.39604
ADAMS-ARAPAHOE 28J,Hispanic,2012,Percent,0.41979
ADAMS-ARAPAHOE 28J,Native American,2012,Percent,0.51875
ADAMS-ARAPAHOE 28J,Two or more,2012,Percent,0.598
ADAMS-ARAPAHOE 28J,White,2012,Percent,0.68271
ADAMS-ARAPAHOE 28J,All Students,2013,Percent,0.48395
ADAMS-ARAPAHOE 28J,Asian,2013,Percent,0.51033
ADAMS-ARAPAHOE 28J,Black,2013,Percent,0.44729
ADAMS-ARAPAHOE 28J,Hawaiian/Pacific Islander,2013,Percent,0.45192
ADAMS-ARAPAHOE 28J,Hispanic,2013,Percent,0.42377
ADAMS-ARAPAHOE 28J,Native American,2013,Percent,0.55233
ADAMS-ARAPAHOE 28J,Two or more,2013,Percent,0.59049
ADAMS-ARAPAHOE 28J,White,2013,Percent,0.68431
ADAMS-ARAPAHOE 28J,All Students,2014,Percent,0.46483
ADAMS-ARAPAHOE 28J,Asian,2014,Percent,0.4608
ADAMS-ARAPAHOE 28J,Black,2014,Percent,0.43067
ADAMS-ARAPAHOE 28J,Hawaiian/Pacific Islander,2014,Percent,0.44248
ADAMS-ARAPAHOE 28J,Hispanic,2014,Percent,0.00406
ADAMS-ARAPAHOE 28J,Native American,2014,Percent,0.00449
ADAMS-ARAPAHOE 28J,Two or more,2014,Percent,0.00568
ADAMS-ARAPAHOE 28J,White,2014,Percent,0.00679
AGATE 300,All Students,2011,Percent,N/A
AGATE 300,Asian,2011,Percent,LNE
AGATE 300,Black,2011,Percent,LNE
AGATE 300,Hawaiian/Pacific Islander,2011,Percent,LNE
AGATE 300,Hispanic,2011,Percent,LNE
AGATE 300,Native American,2011,Percent,LNE
AGATE 300,Two or more,2011,Percent,LNE
AGATE 300,White,2011,Percent,LNE
AGATE 300,All Students,2012,Percent,LNE
AGATE 300,Asian,2012,Percent,LNE
AGATE 300,Black,2012,Percent,LNE
AGATE 300,Hawaiian/Pacific Islander,2012,Percent,LNE
AGATE 300,Hispanic,2012,Percent,LNE
AGATE 300,Native American,2012,Percent,LNE
AGATE 300,Two or more,2012,Percent,LNE
AGATE 300,White,2012,Percent,LNE
AGATE 300,All Students,2013,Percent,LNE
AGATE 300,Asian,2013,Percent,LNE
AGATE 300,Black,2013,Percent,LNE
AGATE 300,Hawaiian/Pacific Islander,2013,Percent,LNE
AGATE 300,Hispanic,2013,Percent,LNE
AGATE 300,Native American,2013,Percent,LNE
AGATE 300,Two or more,2013,Percent,LNE
AGATE 300,White,2013,Percent,LNE
AGATE 300,All Students,2014,Percent,LNE
AGATE 300,Asian,2014,Percent,LNE
AGATE 300,Black,2014,Percent,LNE
AGATE 300,Hawaiian/Pacific Islander,2014,Percent,LNE
AGATE 300,Hispanic,2014,Percent,LNE
AGATE 300,Native American,2014,Percent,LNE
AGATE 300,Two or more,2014,Percent,LNE
AGATE 300,White,2014,Percent,LNE
